"city","active_listings","avg_list_price","avg_sale_price","avg_price_ratio","inventory_tightness_z","sales_pace_z","pricing_power_z","openhouse_activity_z","competitiveness_score","market_type"
Placentia,29,1129271.7586,778434.9909508197,1.0433391901136715,-0.818121625770959,-0.43547822144416304,-0.07929583405191529,1.7099126560101685,0.18129993834794517,Balanced Market
Placerville,4,566000.0000,525000.0,0.9786617583670518,0.84432893783003,-0.5127680989711472,-0.10121836882753996,-0.9680025788175227,-0.033033504424174576,Balanced Market
Planada,1,329000.0000,267833.3333333333,1.0143797086937607,-0.8299649271813404,-0.5320905683528933,-0.08911170368939872,-0.9680025788175227,0.4786833954352028,Balanced Market
Playa Del Rey,41,1666558.4878,744389.9459459459,0.9872839466017591,-0.215963769686881,-0.08767377257273444,-0.09829586222341477,0.2576155255340558,0.035840951457454626,Balanced Market
Playa Vista,15,1312992.3333,870115.5185185185,0.9941242512207715,-0.7418275010603325,-0.26157599700844875,-0.09597732835717164,1.163829127203276,0.15584493819315526,Balanced Market
Pleasant Hill,27,1040475.4815,1022954.6284403669,1.087913617819709,-0.6811834532134243,-0.396833282680671,-0.06418724957197806,1.739085229332578,0.13024032296337734,Balanced Market
Pleasanton,50,1775676.2600,1634773.9776422763,1.0065779663405325,-0.7869800876874115,-0.43547822144416304,-0.09175611864884162,1.3161011889877845,0.20760053824604138,Balanced Market
Point Loma,4,1180750.0000,1615320.0,0.9878558746731269,0.42135388745926666,-0.45480069082590907,-0.09810200614881312,-0.9680025788175227,0.07740369704710107,Balanced Market
Pomona,137,675306.9124,520384.95805369125,1.001359079508547,-0.18038099357444054,-0.2808984663901948,-0.09352506996577811,0.33243819675982206,0.07708249732367493,Balanced Market
Port Hueneme,41,573337.6341,364113.6274509804,1.0486133645547477,-0.31419972513549077,-0.02970636442749635,-0.07750814289791012,0.1461923755329773,0.06530014644622538,Balanced Market
Porter Ranch,67,2040897.7313,915661.1185983828,0.9939679754535554,-0.41121962731428463,-0.3002209357719408,-0.0960302983166902,1.1456476612115456,0.07005831330970602,Balanced Market
Porterville,5,385560.0000,308099.9,0.9334322478729995,0.3155572529852795,-0.08767377257273444,-0.11654899482664924,-0.9680025788175227,-0.006529484690005985,Balanced Market
Portola Valley,11,5224181.8182,4781927.2727272725,1.0147228089991862,0.13938814450585654,-0.396833282680671,-0.08899540920809208,-0.13742022110787208,0.0642769408008039,Balanced Market
Potrero,3,416333.3333,288200.0,0.827966881934095,-0.0016211629114966728,0.9943845128050434,-0.1522966751222642,-0.9680025788175227,-0.24671774962299092,Balanced Market
Poway,51,2261576.0588,1315797.962686567,0.9915817898379352,-0.3650096030612787,-0.396833282680671,-0.09683910033196601,1.271314482308658,0.07236968739212929,Balanced Market
Prunedale,2,804500.0000,514937.5,1.0163835725758081,-0.4774680945786054,-0.416155752062417,-0.08843249033083644,-0.9680025788175227,0.33835766477480805,Balanced Market
Quartz Hill,13,703635.3846,488316.6666666667,0.9911082928518787,0.7341439372084462,-0.1842861194814646,-0.09699959300866415,-0.6166023505557475,-0.13239698816511897,Balanced Market
Quincy,3,371000.0000,159166.66666666666,0.9096996018820124,0.31561012486657586,0.5113227782613925,-0.12459321895560434,-0.9680025788175227,-0.1886575787433195,Balanced Market
Ramona,75,1191265.5733,837293.6513409961,0.9992396408638399,0.09682628006229849,-0.31954340515368684,-0.09424345760329933,0.12836722972902467,0.02570537727352424,Balanced Market
Rancho Cordova,3,525406.6667,473099.8333333333,0.9993489842579093,-0.21310868809687833,-0.3388658745354329,-0.0942063954582166,-0.9680025788175227,0.23413070803398067,Balanced Market
Rancho Cucamonga,196,969741.8163,605461.1176085031,1.0171106788221482,-0.4451633751065384,-0.3581883439171789,-0.08818603632763157,0.3371982690119283,0.1808298779076329,Balanced Market
Rancho Dominguez,1,2000000.0000,184157.14285714287,1.0007290834890974,-0.8173814194328102,-0.49344562958940114,-0.09373860827847727,-0.9680025788175227,0.4619267901048725,Balanced Market
Rancho Mirage,407,1594282.0885,1004588.5055350553,0.971238848978025,2.3026940396271254,0.26013067629869413,-0.10373437765508212,0.5696971915368305,-0.8569374472279535,Buyer Opportunity
Rancho Mission Viejo,71,1193881.2817,837648.5173611111,0.9996832365188946,-0.09742501182047458,-0.2808984663901948,-0.09409310003789151,1.669977385733861,-0.08172862512155274,Balanced Market
Rancho Palos Verdes,79,2863432.6709,1089075.6712643679,0.9938372044605277,-0.40635541423502086,-0.3388658745354329,-0.09607462338595894,0.9402382093728143,0.10072017867806697,Balanced Market
Rancho Santa Fe,79,10875965.1772,3890464.010989011,0.970895640519002,0.7836848899831218,-0.08767377257273444,-0.10385070879525009,-0.38974973254485995,-0.20098357460720523,Balanced Market
Rancho Santa Margarita,59,1004918.1525,732932.1860940695,1.0018820409727185,-0.6964105550267717,-0.37751081329892494,-0.09334781121299514,0.8128263329970986,0.21288943383410058,Balanced Market
Raymond,3,615666.6667,389500.0,1.0098622628630132,0.31561012486657586,1.1876092066225037,-0.09064290028529229,-0.9680025788175227,-0.3813584116505592,Balanced Market
Red Bluff,24,539411.4167,382201.35135135136,0.9739405016911459,1.1301543281180733,0.08622845186297984,-0.10281864748528996,-0.7776590754312352,-0.31799452069677936,Balanced Market
Redding,10,595010.0000,466500.0,0.9597836706601323,2.033946266997802,0.20216326815345603,-0.10761713147280945,-0.9680025788175227,-0.606317742105468,Buyer Opportunity
Redlands,109,887134.8349,511243.65358931554,0.9961538436399617,-0.4075185956235404,-0.3002209357719408,-0.09528939426349349,-0.004069674935862647,0.18414200863318256,Balanced Market
Redondo Beach,97,1724491.6804,1038783.7647058824,1.00093689600494,-0.6810777094508316,-0.3581883439171789,-0.09366816984296211,1.763502298610417,0.10732913519647275,Balanced Market
Redwood City,51,1890282.8431,1733832.6036745408,1.0302665619108615,-0.6335987600467134,-0.416155752062417,-0.08372682549121113,1.5400347223834168,0.1358048337470341,Balanced Market
Reseda,65,848384.3846,620948.6153846154,1.0072850221488765,-0.2791985397173101,-0.3002209357719408,-0.09151646077857471,0.4375983342295784,0.102611070990245,Balanced Market
Rialto,87,587143.9195,505919.16591928253,1.0063525591214728,-0.44548060639431647,-0.3388658745354329,-0.09183252084146226,-0.23288662218706274,0.2310428502451924,Balanced Market
Richmond,85,583858.0235,666912.2840375587,1.0274054045410745,-0.3210730697040157,-0.3002209357719408,-0.084696620058556,0.6443051570084231,0.09654869992437785,Balanced Market
Ridgecrest,23,402299.3913,174056.3076923077,0.9597674320067622,2.471143853437282,0.37606549258917027,-0.10762263559431831,-0.9680025788175227,-0.7896493366044789,Buyer Opportunity
Rimforest,7,369557.1429,361333.3333333333,0.9475813507821017,1.8136291376359306,0.6852250026971068,-0.11175313030030466,-0.9680025788175227,-0.6863819233082502,Buyer Opportunity
Rio Linda,1,785000.0000,422500.0,0.9973621847317047,-0.7418275010603325,-0.5127680989711472,-0.09487982482189401,-0.9680025788175227,0.4447149904446279,Balanced Market
Rio Vista,24,464788.5417,432091.5,1.0010813717991658,2.11325408894232,-0.06835130319098841,-0.09361919950605142,0.17404930508513083,-0.658961526085728,Buyer Opportunity
Ripon,1,684000.0000,552520.0,0.9972716319017737,-0.9533150262457142,-0.3002209357719408,-0.09491051787060643,-0.9680025788175227,0.4443878911258668,Balanced Market
Riverbank,4,499450.0000,435875.0,1.0209595523310104,0.3156629967478722,-0.5127680989711472,-0.08688145355329434,0.17404930508513083,0.0156621640924811,Balanced Market
Riverdale,1,290000.0000,485000.0,0.9768330986454269,-0.7418275010603325,-0.5127680989711472,-0.10183819641279657,-0.9680025788175227,0.44262747896735716,Balanced Market
Riverside,409,838407.2494,570846.2792058111,0.996093659026428,-0.32990267388050537,-0.26157599700844875,-0.09530979394924971,0.09307325830889707,0.13954333725102164,Balanced Market
Rocklin,5,798999.8000,412438.6666666667,1.0284985104592985,-0.3893306684575976,-0.20360858886321062,-0.08432610979154993,0.859280435426723,0.06665590071610517,Balanced Market
Rodeo,8,703375.0000,599115.8928571428,1.0279470590724422,-0.21310868809687833,-0.37751081329892494,-0.08451302525617112,-0.396976636866196,0.19152960652850926,Balanced Market
Rohnert Park,1,230900.0000,497640.0,0.9873742213133678,-0.8475712636530233,-0.3002209357719408,-0.09826526344342061,-0.9680025788175227,0.4116583386762153,Balanced Market
Rolling Hills,7,5548428.5714,4606966.083333333,0.9710692685089147,0.579969531348303,-0.1842861194814646,-0.10379185726784568,-0.9680025788175227,-0.0530423228586529,Balanced Market
Rolling Hills Estates,28,1322292.8214,1875420.7647058824,2.0011682753707922,0.2969463507689659,-0.2808984663901948,0.24536210092787694,0.6635007650730589,0.002444188457425847,Balanced Market
Rosamond,34,416301.6471,337733.54545454547,1.0120306713805824,-0.35131578580552525,-0.20360858886321062,-0.08990791421904891,-0.699282338742764,0.2094331720091825,Balanced Market
Rosemead,23,962203.8261,813646.1823204419,1.0342252862822492,-0.6691815361591539,-0.396833282680671,-0.08238500856442206,0.025084625556404293,0.2925804805269804,Balanced Market
Roseville,10,607259.2000,597685.8620689656,0.9902564506583489,0.187977403417198,-0.416155752062417,-0.0972883264912205,-0.5111818252564614,0.09038518917184568,Balanced Market
Rossmoor,4,1841999.7500,1839097.7777777778,0.9883139058915607,-0.8475712636530233,-0.3002209357719408,-0.09794675562257432,3.6002049567930916,-0.04506686253859227,Balanced Market
Rowland Heights,34,1500920.1765,694440.117370892,1.001018549259732,-0.5180208275329024,-0.3002209357719408,-0.0936404933216566,-0.16184642680078204,0.23356502367503418,Balanced Market
Royal Oaks,10,1705100.0000,824778.125,0.9394958142517148,0.4918321052272951,-0.12631871133622652,-0.11449373781949941,-0.0543610716953999,-0.1385660323436304,Balanced Market
Running Springs,66,513787.5758,341241.63302752294,0.9737132343542242,1.610706857220557,-0.08767377257273444,-0.10289568016829055,-0.5527113999626975,-0.4325074894485641,Balanced Market
Sacramento,52,479091.4615,447368.63313609466,1.0035445714315807,0.19358182283461062,-0.3388658745354329,-0.09278429344774548,-0.5287511514384198,0.06862504261976501,Balanced Market
Salida,2,499950.0000,476721.4285714286,1.0057945856168333,-0.3642165248418336,-0.3581883439171789,-0.09202164698993484,-0.9680025788175227,0.2859152244124756,Balanced Market
Salinas,82,1007735.1463,781228.242280285,0.9909863933628063,-0.3437022348988515,-0.37751081329892494,-0.09704091106530548,0.36903410732759867,0.1503482304069814,Balanced Market
Salton City,7,362057.1429,75175.0,0.9282632107101462,0.2715678477467201,0.2987756150621862,-0.1183010495062952,-0.9680025788175227,-0.10979309581280816,Balanced Market
Salton Sea Beach,1,240000.0000,141450.0,0.9647058823529412,-0.7418275010603325,2.5981494714899642,-0.10594873874145722,-0.9680025788175227,-0.4918809548695743,Balanced Market
San Ardo,1,305000.0000,280000.0,0.9130434782608696,-0.7418275010603325,0.801159818987583,-0.12345980588985254,-0.9680025788175227,0.04196262073662136,Balanced Market
San Bernardino,226,522518.1504,423852.5533483348,4.144030751166514,-0.3034667332323327,-0.2808984663901948,0.971689289197348,-0.4222433927456583,0.5090406859205284,Competitive Market
San Bruno,21,893470.8095,1010712.0880503145,1.0412475550399207,-0.6420582610541287,-0.396833282680671,-0.08000479761778251,0.9897986929266539,0.18868615454243975,Balanced Market
San Carlos,28,2137778.5714,1916530.2953367876,1.0353282877987757,-0.5801981599374045,-0.45480069082590907,-0.08201114416612082,0.8266497289998563,0.20323133907917218,Balanced Market
San Clemente,87,2571030.7701,1050476.5101123597,1.108365287452995,-0.8069656588174301,-0.3002209357719408,-0.057255118430596885,1.2373407228663218,0.191245370561,Balanced Market
San Diego,1486,1171628.3513,1067116.6498985214,1.3039154094414533,-0.24562489509413077,-0.37751081329892494,0.009026956072054962,0.30777444427506034,0.15887135491202717,Balanced Market
San Dimas,32,1328540.2500,660553.6092436975,1.0031189309029847,-0.6360837384676417,-0.3581883439171789,-0.09292856508992536,0.7450752470364577,0.1958955304848228,Balanced Market
San Fernando,33,805504.5152,597429.1489361703,1.009208225113246,0.3999936474155431,-0.3388658745354329,-0.09086458758682299,0.001010171843736357,-0.0456987253244536,Balanced Market
San Francisco,85,1376586.4353,1103635.9717948718,1.0472601981800407,-0.23346436239597135,-0.3388658745354329,-0.07796680113627272,0.5905601953519641,0.08925301120334302,Balanced Market
San Gabriel,39,1254199.9744,893394.643678161,1.0500189409746812,-0.5595252543505335,-0.3388658745354329,-0.07703172017805777,0.9061319719119454,0.15579462542117806,Balanced Market
San Jacinto,110,462696.5909,370668.9191011236,0.999447752097079,-0.09430557082399019,-0.16496365009971858,-0.0941729179169717,-0.34506352643151694,0.0840352435451728,Balanced Market
San Jose,546,1329617.1264,1412178.099025974,1.045121945014733,-0.5676146521888744,-0.45480069082590907,-0.07869156599025125,1.3579368335989064,0.147323449747469,Balanced Market
San Juan Bautista,7,1526699.8571,1003993.75,0.9930021734816596,0.11734057000528052,-0.1842861194814646,-0.09635765867630063,0.3371982690119283,-0.042543459661227793,Balanced Market
San Juan Capistrano,33,2647345.0909,1161714.0494459835,0.9829223084115669,-0.8355693465987529,-0.3388658745354329,-0.09977424753218483,0.4163013506985617,0.2807681570107441,Balanced Market
San Leandro,39,799997.3846,841418.072,1.6448958633415474,-0.7756655050899937,-0.37751081329892494,0.12460290979448739,0.7889985624913537,0.3044339122058864,Balanced Market
San Lorenzo,9,815641.7778,856676.3495145631,1.0437696723564656,-0.8547618395093263,-0.416155752062417,-0.07914992130177836,1.0623098511394011,0.25129931596704935,Balanced Market
San Luis Obispo,72,1626143.0139,1011691.0925138121,8.945662430132474,-0.3920800062850076,-0.3388658745354329,2.599211202470812,-0.20663313347990853,1.0197104383353666,Competitive Market
San Marcos,131,983179.0992,833844.918879056,2.467520128243035,-0.3511571701616362,-0.3581883439171789,0.40343292155539934,0.46174131105528055,0.2876593995847363,Balanced Market
San Marino,17,5291235.3529,2336027.095238095,1.0040220409291576,-0.6385687168885699,-0.2808984663901948,-0.09262245428094096,0.10686924506644112,0.23736649419270295,Balanced Market
San Martin,2,2737450.0000,1643595.9583333333,0.9962206621724761,-0.9621446304222039,-0.3388658745354329,-0.09526674599866379,-0.9680025788175227,0.45852338556944416,Balanced Market
San Mateo,78,1678462.2051,1481621.5903814263,1.0382953914630757,-0.6550118719717334,-0.43547822144416304,-0.08100543890685317,1.0818343701466009,0.19466195933805286,Balanced Market
San Miguel,11,2819272.7273,695530.7692307692,0.9766315669298138,-0.22664388970874277,0.008938574335995715,-0.1019065059594902,-0.5527113999626975,0.09001078282024681,Balanced Market
San Pablo,28,616404.5000,511153.35833333334,1.0172360312447908,-0.16023680680053293,-0.396833282680671,-0.0881435478927884,1.152952225060987,0.02538273997042595,Balanced Market
San Pedro,84,907089.7619,641081.3535911603,0.9954496969495067,-0.5344111107347695,-0.24225352762670269,-0.09552806608288664,0.3371982690119283,0.17062114478238283,Balanced Market
San Rafael,7,1332412.5714,1371376.1363636365,0.9980635972806756,-0.09298377379158156,-0.3388658745354329,-0.0946420797447995,0.9897986929266539,0.0021824012819990635,Balanced Market
San Ramon,65,1281601.2154,1447359.593220339,1.008287235856125,-0.6152522172368815,-0.416155752062417,-0.09117675859411202,1.6323627648856431,0.11883308672299159,Balanced Market
San Simeon,4,5021250.0000,564833.3333333334,0.9601463180515882,0.84432893783003,0.6079351251701227,-0.10749421147064193,-0.9680025788175227,-0.3711272244594861,Balanced Market
San Ysidro,7,640700.0000,586582.4594594594,0.9935493995902362,-0.4703303906035988,-0.3388658745354329,-0.09617217537754506,-0.9680025788175227,0.3107074848101983,Balanced Market
Sanger,6,866333.1667,465312.4375,0.9486496531013414,0.11734057000528052,-0.10699624195448047,-0.11139102725891979,-0.9680025788175227,0.06027965128883633,Balanced Market
Santa Ana,171,855430.2047,706891.1368421053,1.0321328162908472,-0.3188524506895692,-0.31954340515368684,-0.08309425512716702,0.07386851382919005,0.1592036288319077,Balanced Market
Santa Barbara,54,8257183.0185,3450954.3189655175,0.9707947104945367,0.9446268966491973,-0.1842861194814646,-0.10388491921318867,-0.29123176883188145,-0.2301445320310882,Balanced Market
Santa Clara,66,1412197.1970,1598773.4688888888,1.0667848542265372,-0.5726374809120272,-0.4741231602076551,-0.07134888295983241,1.177670796036176,0.17485644784433735,Balanced Market
Santa Clarita,17,1034046.9412,767627.2407407408,0.9782239775018402,0.22747269874556802,-0.1842861194814646,-0.1013667554592062,0.3755894851411999,-0.08092494893111288,Balanced Market
Santa Cruz,76,2207803.4079,1415532.4349881797,0.9990126499562135,-0.41560799346188126,-0.3581883439171789,-0.09432039659008044,1.0155633834274977,0.10228644389394413,Balanced Market
Santa Fe Springs,17,836034.5294,758548.303030303,0.999926231752395,-0.18106832803129302,-0.31954340515368684,-0.09401073635533846,0.9130253970831819,0.030677759340574207,Balanced Market
Santa Margarita,10,1021890.0000,204036.02272727274,0.9638333748535414,-0.30922976829363436,0.26013067629869413,-0.10624447676755139,-0.5111818252564614,0.0339745670938628,Balanced Market
Santa Maria,58,841756.8793,643821.9976066351,0.9966737196916451,-0.6211738679420723,-0.416155752062417,-0.09511318131696382,0.21343182224962992,0.2613217493812946,Balanced Market
Santa Monica,188,3819386.8777,964498.1983985765,0.9924574606006991,-0.47466588486989914,-0.24225352762670269,-0.09654229011192056,0.7815249749630947,0.1079606392190949,Balanced Market
Santa Paula,30,1204579.9333,691352.9060402685,0.9930256272945531,-0.41893892198355104,-0.12631871133622652,-0.09634970896316432,-0.0543610716953999,0.14010848447652394,Balanced Market
Santa Rosa,11,2530929.2727,1335940.8125,0.9908283950935226,0.1834304216257123,-0.2808984663901948,-0.09709446487007664,-0.5527113999626975,0.055383213964591504,Balanced Market
Santa Ynez,22,11208954.5000,2945481.25,0.9140219483043546,4.545360628574209,-0.3581883439171789,-0.12312815166401316,-0.9680025788175227,-1.1962898730145604,Buyer Opportunity
Santa Ysabel,3,5314666.6667,573088.8888888889,0.9753560578049087,-0.036833835854862725,-0.22293105824495665,-0.10233884212980851,-0.9680025788175227,0.14402807347275554,Balanced Market
Santee,62,743630.1129,696733.2151898735,1.0024956601639832,-0.523625246950315,-0.416155752062417,-0.09313982385641316,-0.23119638539888676,0.2771119910867843,Balanced Market
Saratoga,27,4720404.5926,4042039.553072626,1.042147231216327,-0.5528105254258977,-0.45480069082590907,-0.07969985071850962,1.4006998243397573,0.1383034272260134,Balanced Market
Saugus,80,891933.9750,747848.4973821989,1.0028788906171855,-0.27401709535026825,-0.37751081329892494,-0.09300992718750523,0.17404930508513083,0.15015046392999332,Balanced Market
Sausalito,4,1959625.0000,628500.0,0.9905309497336587,0.42135388745926666,0.22148573753520207,-0.09719528452338337,0.17404930508513083,-0.2394154033638687,Balanced Market
Scotts Valley,15,1069333.2667,1161484.6226415094,0.9902816486895775,-0.5971700338335314,-0.396833282680671,-0.09727978557206264,1.163829127203276,0.15263414656231428,Balanced Market
Scripps Miramar,1,1860000.0000,1287481.25,0.9862710741449463,-0.9400970559216278,-0.37751081329892494,-0.09863917721070029,3.6002049567930916,0.005670111923646637,Balanced Market
Seal Beach,66,823683.3030,590645.5644768856,0.9906269325671633,-0.5063890136477064,-0.3002209357719408,-0.0971627509649451,-0.5527113999626975,0.26810529953268036,Balanced Market
Seaside,18,1046766.0000,878939.8072289156,0.9874443382461092,-0.23859293488171684,-0.14564118071797255,-0.0982414971797507,-0.4604244713282918,0.13184023265881079,Balanced Market
Selma,2,390000.0000,480571.4285714286,0.8908277605854059,-0.5152186178241961,0.08622845186297984,-0.1309898643685779,-0.9680025788175227,0.18620034835954377,Balanced Market
Shadow Hills,6,1660583.3333,1325852.894736842,0.977684192824694,0.06515602316578759,-0.08767377257273444,-0.10154971647105414,-0.20663313347990853,-0.0030462767712413283,Balanced Market
